benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g50_m20.py,100,50,20,31,20290432,SUCCESS,0.239402,
rqc_q100_g50_m20.py,100,50,20,32,20290433,SUCCESS,0.236482,
rqc_q100_g50_m20.py,100,50,20,33,20290434,SUCCESS,0.235145,
rqc_q100_g50_m20.py,100,50,20,34,20290435,SUCCESS,0.235020,
rqc_q100_g50_m20.py,100,50,20,35,20290436,SUCCESS,0.581724,
rqc_q100_g50_m20.py,100,50,20,36,20290437,SUCCESS,0.238060,
rqc_q100_g50_m20.py,100,50,20,37,20290438,SUCCESS,0.224741,
rqc_q100_g50_m20.py,100,50,20,38,20290439,SUCCESS,0.229354,
rqc_q100_g50_m20.py,100,50,20,39,20290440,SUCCESS,0.236419,
rqc_q100_g50_m20.py,100,50,20,40,20290441,SUCCESS,0.229617,
rqc_q100_g50_m20.py,100,50,20,41,20290442,SUCCESS,0.239227,
rqc_q100_g50_m20.py,100,50,20,42,20290443,SUCCESS,3.722643,
rqc_q100_g50_m20.py,100,50,20,43,20290444,SUCCESS,0.408641,
rqc_q100_g50_m20.py,100,50,20,44,20290445,SUCCESS,0.976154,
rqc_q100_g50_m20.py,100,50,20,45,20290446,SUCCESS,0.237478,
rqc_q100_g50_m20.py,100,50,20,46,20290447,SUCCESS,0.585638,
rqc_q100_g50_m20.py,100,50,20,47,20290448,SUCCESS,0.241152,
rqc_q100_g50_m20.py,100,50,20,48,20290449,SUCCESS,0.976516,
rqc_q100_g50_m20.py,100,50,20,49,20290450,SUCCESS,0.229242,
rqc_q100_g50_m20.py,100,50,20,50,20290451,SUCCESS,0.236499,
rqc_q100_g100_m5.py,100,100,5,1,20340252,SUCCESS,4.291638,
rqc_q100_g100_m5.py,100,100,5,2,20340253,SUCCESS,1.038594,
rqc_q100_g100_m5.py,100,100,5,3,20340254,SUCCESS,1.028684,
rqc_q100_g100_m5.py,100,100,5,4,20340255,SUCCESS,1.017721,
rqc_q100_g100_m5.py,100,100,5,5,20340256,SUCCESS,1.020746,
rqc_q100_g100_m5.py,100,100,5,6,20340257,SUCCESS,1.025865,
rqc_q100_g100_m5.py,100,100,5,7,20340258,SUCCESS,3.043995,
rqc_q100_g100_m5.py,100,100,5,8,20340259,SUCCESS,1.028235,
rqc_q100_g100_m5.py,100,100,5,9,20340260,SUCCESS,2.996564,
rqc_q100_g100_m5.py,100,100,5,10,20340261,SUCCESS,3.046609,
rqc_q100_g100_m5.py,100,100,5,11,20340262,SUCCESS,1.047351,
rqc_q100_g100_m5.py,100,100,5,12,20340263,SUCCESS,5.194947,
rqc_q100_g100_m5.py,100,100,5,13,20340264,SUCCESS,1.024955,
rqc_q100_g100_m5.py,100,100,5,14,20340265,SUCCESS,1.016447,
