benchmark,qubits,gates,mid_meas,run_id,rng_seed,status,time_seconds,note
rqc_q100_g50_m20.py,100,50,20,49,20290450,SUCCESS,0.212849,
rqc_q100_g50_m20.py,100,50,20,50,20290451,SUCCESS,0.217480,
rqc_q100_g100_m5.py,100,100,5,1,20340252,SUCCESS,4.006720,
rqc_q100_g100_m5.py,100,100,5,2,20340253,SUCCESS,0.937042,
rqc_q100_g100_m5.py,100,100,5,3,20340254,SUCCESS,0.969019,
rqc_q100_g100_m5.py,100,100,5,4,20340255,SUCCESS,0.970684,
rqc_q100_g100_m5.py,100,100,5,5,20340256,SUCCESS,0.945195,
rqc_q100_g100_m5.py,100,100,5,6,20340257,SUCCESS,0.963066,
rqc_q100_g100_m5.py,100,100,5,7,20340258,SUCCESS,2.827505,
rqc_q100_g100_m5.py,100,100,5,8,20340259,SUCCESS,0.946458,
rqc_q100_g100_m5.py,100,100,5,9,20340260,SUCCESS,2.742585,
rqc_q100_g100_m5.py,100,100,5,10,20340261,SUCCESS,2.837651,
rqc_q100_g100_m5.py,100,100,5,11,20340262,SUCCESS,0.945020,
rqc_q100_g100_m5.py,100,100,5,12,20340263,SUCCESS,4.743778,
rqc_q100_g100_m5.py,100,100,5,13,20340264,SUCCESS,0.948778,
rqc_q100_g100_m5.py,100,100,5,14,20340265,SUCCESS,0.943941,
rqc_q100_g100_m5.py,100,100,5,15,20340266,SUCCESS,0.965684,
rqc_q100_g100_m5.py,100,100,5,16,20340267,SUCCESS,1.000106,
rqc_q100_g100_m5.py,100,100,5,17,20340268,SUCCESS,0.944644,
rqc_q100_g100_m5.py,100,100,5,18,20340269,SUCCESS,0.953148,
rqc_q100_g100_m5.py,100,100,5,19,20340270,SUCCESS,5.759896,
rqc_q100_g100_m5.py,100,100,5,20,20340271,SUCCESS,0.944476,
rqc_q100_g100_m5.py,100,100,5,21,20340272,SUCCESS,0.971749,
rqc_q100_g100_m5.py,100,100,5,22,20340273,SUCCESS,4.060258,
rqc_q100_g100_m5.py,100,100,5,23,20340274,SUCCESS,2.726832,
rqc_q100_g100_m5.py,100,100,5,24,20340275,SUCCESS,0.942306,
rqc_q100_g100_m5.py,100,100,5,25,20340276,SUCCESS,2.856414,
rqc_q100_g100_m5.py,100,100,5,26,20340277,SUCCESS,3.674008,
rqc_q100_g100_m5.py,100,100,5,27,20340278,SUCCESS,0.963048,
rqc_q100_g100_m5.py,100,100,5,28,20340279,SUCCESS,3.873895,
rqc_q100_g100_m5.py,100,100,5,29,20340280,SUCCESS,0.941954,
rqc_q100_g100_m5.py,100,100,5,30,20340281,SUCCESS,5.464000,
rqc_q100_g100_m5.py,100,100,5,31,20340282,SUCCESS,2.742265,
rqc_q100_g100_m5.py,100,100,5,32,20340283,SUCCESS,2.779893,
rqc_q100_g100_m5.py,100,100,5,33,20340284,SUCCESS,5.391504,
rqc_q100_g100_m5.py,100,100,5,34,20340285,SUCCESS,3.594726,
rqc_q100_g100_m5.py,100,100,5,35,20340286,SUCCESS,2.843817,
rqc_q100_g100_m5.py,100,100,5,36,20340287,SUCCESS,0.952499,
rqc_q100_g100_m5.py,100,100,5,37,20340288,SUCCESS,0.939506,
rqc_q100_g100_m5.py,100,100,5,38,20340289,SUCCESS,3.935051,
rqc_q100_g100_m5.py,100,100,5,39,20340290,SUCCESS,3.606993,
rqc_q100_g100_m5.py,100,100,5,40,20340291,SUCCESS,0.942317,
rqc_q100_g100_m5.py,100,100,5,41,20340292,SUCCESS,0.970878,
rqc_q100_g100_m5.py,100,100,5,42,20340293,SUCCESS,0.941468,
rqc_q100_g100_m5.py,100,100,5,43,20340294,SUCCESS,2.820282,
rqc_q100_g100_m5.py,100,100,5,44,20340295,SUCCESS,0.942275,
rqc_q100_g100_m5.py,100,100,5,45,20340296,SUCCESS,0.946308,
rqc_q100_g100_m5.py,100,100,5,46,20340297,SUCCESS,0.943037,
rqc_q100_g100_m5.py,100,100,5,47,20340298,SUCCESS,3.885546,
rqc_q100_g100_m5.py,100,100,5,48,20340299,SUCCESS,0.940503,
rqc_q100_g100_m5.py,100,100,5,49,20340300,SUCCESS,2.872183,
rqc_q100_g100_m5.py,100,100,5,50,20340301,SUCCESS,0.969713,
rqc_q100_g100_m10.py,100,100,10,1,20340302,SUCCESS,2.787509,
rqc_q100_g100_m10.py,100,100,10,2,20340303,SUCCESS,0.945621,
rqc_q100_g100_m10.py,100,100,10,3,20340304,SUCCESS,3.754511,
rqc_q100_g100_m10.py,100,100,10,4,20340305,SUCCESS,0.932892,
rqc_q100_g100_m10.py,100,100,10,5,20340306,SUCCESS,0.943807,
rqc_q100_g100_m10.py,100,100,10,6,20340307,SUCCESS,0.941739,
rqc_q100_g100_m10.py,100,100,10,7,20340308,SUCCESS,0.946972,
rqc_q100_g100_m10.py,100,100,10,8,20340309,SUCCESS,2.761702,
rqc_q100_g100_m10.py,100,100,10,9,20340310,SUCCESS,0.947624,
rqc_q100_g100_m10.py,100,100,10,10,20340311,SUCCESS,0.947955,
rqc_q100_g100_m10.py,100,100,10,11,20340312,SUCCESS,4.798963,
rqc_q100_g100_m10.py,100,100,10,12,20340313,SUCCESS,2.769422,
rqc_q100_g100_m10.py,100,100,10,13,20340314,SUCCESS,0.939229,
rqc_q100_g100_m10.py,100,100,10,14,20340315,SUCCESS,3.713044,
rqc_q100_g100_m10.py,100,100,10,15,20340316,SUCCESS,2.713840,
rqc_q100_g100_m10.py,100,100,10,16,20340317,SUCCESS,2.747686,
rqc_q100_g100_m10.py,100,100,10,17,20340318,SUCCESS,0.935861,
rqc_q100_g100_m10.py,100,100,10,18,20340319,SUCCESS,2.717152,
rqc_q100_g100_m10.py,100,100,10,19,20340320,SUCCESS,0.940579,
rqc_q100_g100_m10.py,100,100,10,20,20340321,SUCCESS,2.735949,
rqc_q100_g100_m10.py,100,100,10,21,20340322,SUCCESS,0.939344,
rqc_q100_g100_m10.py,100,100,10,22,20340323,SUCCESS,0.946630,
rqc_q100_g100_m10.py,100,100,10,23,20340324,SUCCESS,0.932511,
rqc_q100_g100_m10.py,100,100,10,24,20340325,SUCCESS,0.946834,
rqc_q100_g100_m10.py,100,100,10,25,20340326,SUCCESS,0.942770,
rqc_q100_g100_m10.py,100,100,10,26,20340327,SUCCESS,0.944342,
